county,Value,Value_se,var_name,label,margin,lower,upper,ci,cnty_rnk
Budi,0.23855283922408532,0.030728361745154833,415,Legumes,0.06022758902050347,0.17832525020358186,0.2987804282445888,17.8% - 29.9%,6
Budi,0.195717820942229,0.03912974518479695,404,Roots/tubers,0.07669430056220201,0.11902352038002699,0.272412121504431,11.9% - 27.2%,7
Budi,0.156560971307733,0.04200367509492536,416,Milk products,0.08232720318605372,0.07423376812167928,0.23888817449378671,7.4% - 23.9%,8
Budi,0.12306815561802263,0.03554348875284453,411,Domesticated meat,0.06966523795557528,0.053402917662447355,0.19273339357359792,5.3% - 19.3%,9
Budi,0.1116106147882224,0.021346297939455937,409,Other fruits,0.041838743961333635,0.06977187082688877,0.15344935874955604,7% - 15.3%,10
Budi,0.10049523311627485,0.020081929363011914,412,Bush meat,0.03936058155150335,0.061134651564771506,0.1398558146677782,6.1% - 14%,11
Budi,0.09822489540573341,0.019951158650685287,418,Sweets,0.03910427095534316,0.05912062445039025,0.13732916636107656,5.9% - 13.7%,12
Budi,0.08505971489171457,0.023021398771618025,405,Vitamin A vegetables,0.04512194159237133,0.03993777329934324,0.13018165648408592,4% - 13%,13
Budi,0.08330429451172228,0.023847873764734424,410,Organ meat,0.04674183257887947,0.03656246193284281,0.13004612709060176,3.7% - 13%,14
Budi,0.06584488899673595,0.020112169917829176,408,Vitamin A fruits,0.039419853038945185,0.026425035957790763,0.10526474203568113,2.6% - 10.5%,15
Budi,0.04537218783072629,0.01347178321253361,413,Eggs,0.026404695096565876,0.018967492734160412,0.07177688292729216,1.9% - 7.2%,16
Budi,0.01829638728824676,0.007007463287476245,414,Fish,0.013734628043453441,0.00456175924479332,0.032031015331700205,0.5% - 3.2%,17
Duk,0.9130219687261977,0.046440789323508265,403,Cereals,0.0910239470740762,0.8219980216521214,1.004045915800274,82.2% - 100.4%,1
Duk,0.7829610726806907,0.05166924075410199,414,Fish,0.10127171187803989,0.6816893608026509,0.8842327845587306,68.2% - 88.4%,2
Duk,0.6796347208016505,0.06884385106097891,411,Domesticated meat,0.13493394807951867,0.5447007727221319,0.8145686688811692,54.5% - 81.5%,3
Duk,0.6656519041535239,0.0647830105949547,413,Eggs,0.1269747007661112,0.5386772033874128,0.7926266049196351,53.9% - 79.3%,4
Duk,0.6362998996060993,0.07658252908082866,412,Bush meat,0.15010175699842418,0.48619814260767513,0.7864016566045235,48.6% - 78.6%,5
Duk,0.5721386164447964,0.07954228920225308,406,Leafy greens,0.15590288683641604,0.4162357296083803,0.7280415032812124,41.6% - 72.8%,6
Duk,0.566988401249528,0.07061139895305248,410,Organ meat,0.13839834194798284,0.42859005930154515,0.7053867431975108,42.9% - 70.5%,7
Duk,0.5125802330296293,0.07530202719452529,407,Other vegetables,0.14759197330126958,0.3649882597283597,0.6601722063308989,36.5% - 66%,8
Duk,0.4990380101565151,0.0896560729339612,417,Oil and fats,0.17572590295056395,0.32331210720595116,0.6747639131070791,32.3% - 67.5%,9
Duk,0.45973225068925394,0.0751873448715304,415,Legumes,0.14736719594819958,0.31236505474105436,0.6070994466374535,31.2% - 60.7%,10
Duk,0.4408962016592351,0.08893972762956362,419,Spices/condiments,0.17432186615394468,0.2665743355052904,0.6152180678131798,26.7% - 61.5%,11
Duk,0.37350166487545333,0.06808854844855329,416,Milk products,0.13345355495916444,0.2400481099162889,0.5069552198346178,24% - 50.7%,12
Duk,0.3191816411786992,0.06397129834607568,409,Other fruits,0.12538374475830832,0.19379789642039086,0.4445653859370075,19.4% - 44.5%,13
Duk,0.24500828111427755,0.0543684453098323,405,Vitamin A vegetables,0.10656215280727131,0.13844612830700626,0.35157043392154885,13.8% - 35.2%,14
Duk,0.2284685956559003,0.046212621461033394,418,Sweets,0.09057673806362546,0.13789185759227485,0.31904533371952576,13.8% - 31.9%,15
Duk,0.2258189899927886,0.05779885386063756,408,Vitamin A fruits,0.11328575356684961,0.11253323642593899,0.3391047435596382,11.3% - 33.9%,16
Duk,0.1078784775949705,0.032246678461909636,404,Roots/tubers,0.06320348978534289,0.044674987809627614,0.1710819673803134,4.5% - 17.1%,17
Jur River,0.6763451199370722,0.033814869522821193,403,Cereals,0.06627714426472954,0.6100679756723427,0.7426222642018018,61% - 74.3%,1
Jur River,0.6398502012790638,0.023256503144179593,415,Legumes,0.045582746162592,0.5942674551164717,0.6854329474416558,59.4% - 68.5%,2
Jur River,0.597741420978308,0.024883365628099497,405,Vitamin A vegetables,0.04877139663107501,0.548970024347233,0.646512817609383,54.9% - 64.7%,3
Jur River,0.47904013623094416,0.02758949164761686,406,Leafy greens,0.05407540362932905,0.4249647326016151,0.5331155398602732,42.5% - 53.3%,4
Jur River,0.4240064259087781,0.029450584451787887,414,Fish,0.057723145525504255,0.36628328038327385,0.4817295714342823,36.6% - 48.2%,5
Jur River,0.4225565432201908,0.03910003453015252,404,Roots/tubers,0.07663606767909893,0.3459204755410919,0.49919261089928973,34.6% - 49.9%,6
Jur River,0.4106551636243483,0.05265909532579947,413,Eggs,0.10321182683856696,0.30744333678578134,0.5138669904629153,30.7% - 51.4%,7
Jur River,0.3844212183556796,0.019105512471712674,418,Sweets,0.03744680444455684,0.34697441391112277,0.42186802280023644,34.7% - 42.2%,8
