county,payam,donor_activity,donor_activity_se,lower,upper
Paynijar,Kol,0.5043923084742524,0.10292792398092525,0.30265357747163896,0.7061310394768658
Paynijar,Mayom,0.828702017864354,0.17443874209523247,0.4868020833576984,1.1706019523710096
Paynijar,Nyal,0.4475059356317855,0.1406451255867119,0.17184148948183015,0.7231703817817408
Paynijar,Pachaar,0.28552220450593296,0.12946479415872106,0.031771207954839675,0.5392732010570263
Paynijar,Pachak,0.9411764705882353,1.0408340855860829e-17,0.9411764705882353,0.9411764705882353
Paynijar,Pachienjok,0.5062737844360866,0.3161980023231603,-0.11347430011730752,1.1260218689894808
Paynijar,Panyijiar(Payinjar),0.43597811021494337,0.020425493293440105,0.39594414335980077,0.47601207707008597
Paynijar,Thoarnhoum(Thoarnhom),0.2379527151151818,0.19223134065332165,-0.13882071256532863,0.6147261427956923
Paynijar,Tiap,0.5909412971457841,0.10054840563414749,0.39386642210285505,0.7880161721887132
Pibor,Boma,0.44947357594255216,0.15485845553689598,0.14595100309023606,0.7529961487948682
Pibor,Gumuruk,0.6138645968019159,0.0397615178461571,0.5359320218234479,0.6917971717803838
Pibor,Kiziongora,0.02855288666015986,0.0222350169025655,-0.015027746468868518,0.07213351978918824
Pibor,Lekuangole,0.6485474729864095,0.029656410164422834,0.5904209090641407,0.7066740369086782
Pibor,Marow,0.16189799061231083,0.09599003536468825,-0.026242478702478145,0.3500384599270998
Pibor,Pibor,0.5880594905546728,0.058648919903697,0.4731076075434266,0.7030113735659189
Pibor,Verteth,0.599818876869296,0.0259870115064457,0.5488843343166625,0.6507534194219295
Ulang,Doma,0.3214285714285714,0.1797471798574536,-0.03087590109203764,0.6737330439491804
Ulang,Kurmuot,0.2712011145168529,0.13477036225796776,0.007051204491236085,0.5353510245424697
Ulang,Ulang,0.05879438267928167,0.019954737376703592,0.01968309742094263,0.0979056679376207
Ulang,Yomding,0.5001104553884312,0.18563729781078167,0.13626135167929915,0.8639595590975633
Uror,Karam,0.3244006397444524,0.14812767396108067,0.03407039878073426,0.6147308807081705
Uror,Motot,0.2957324163871064,0.07192835022419769,0.15475284994767893,0.4367119828265339
Uror,Pathai,0.06165522584005961,0.021014486155456084,0.02046683297536569,0.10284361870475353
Uror,Payai,0.18831473586616984,0.028931900577046976,0.13160821073515777,0.2450212609971819
Uror,Pieri,0.4160916013311376,0.06181268343952331,0.29493874178967194,0.5372444608726032
Uror,Puolchuol,0.1648138621771415,0.10284809092081985,-0.036768396027665406,0.3663961203819484
Uror,Tiam,0.5294117647058824,2.775557561562889e-17,0.5294117647058824,0.5294117647058824
Uror,Wuror,0.04951888399037724,0.04526959986139895,-0.03920953173796471,0.13824729971871919
Wau,Bagari,0.45581054589045295,0.11229436215239516,0.23571359607175843,0.6759074957091474
Wau,Besselia,0.8181818181818182,2.0816681711721657e-17,0.8181818181818182,0.8181818181818182
Wau,Kpaile,0.6,1.3877787807814444e-17,0.6,0.6
Wau,Wau North,0.46615130608964556,0.07642166702112796,0.31636483872823473,0.6159377734510564
Wau,Wau South,0.38259600970796764,0.07093813276104358,0.24355726949632223,0.521634749919613
